text,label
i feel very stressed and overwhelmed,High Stress
too much pressure at work,High Stress
panic and anxiety attacks,High Stress
i am exhausted and burned out,High Stress

i am tired and worried,Moderate Stress
feeling busy and slightly stressed,Moderate Stress
workload is manageable but tiring,Moderate Stress
a bit anxious about deadlines,Moderate Stress

i am calm and relaxed,Low Stress
feeling happy and peaceful,Low Stress
everything is going well,Low Stress
i feel confident and positive,Low Stress